Handle,Title,Product Description,SKU,Collection,Shipping Measurements,Specifications,Information,Recommendation,Care,Technical information,Measures,Form,Unit per box,Color,Material,Business type,Country of origin,Chipping resistance,Shock resistance,Porosity,Reinforced edges,Dishwasher,Microwave,Conventional oven
bg-665612-sarten-para-blinis-12-cm-diametro-alumino-con-antiadherente,SARTEN PARA BLINIS 12 CM DIAMETRO ALUMINO CON ANTIADHERENTE,Matfer. Sartén para Blinis Aluminio con Antiadherente,BG-665612,EQUIPO DE COCINA,24x12x3,,Sartén para Blinis Fabricado en Aluminio con Antiadherente 12 cm de Diámetro de Bourgeat No Apto para Inducción,"Sartén para Blinis 12 cm Diámetro Aluminio
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.","Proceso de lavado a mano, con detergente líquido con el fin de evitar rayar el producto.",TRUE,12 cm,Redondo,1,Negro,Aluminio,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
bg-665116-sarten-redondo-16-cm-diametro-aluminio-con-antiadherente,SARTEN REDONDO 16 CM DIAMETRO ALUMINIO CON ANTIADHERENTE,Matfer. Sartén Redondo  Aluminio con Antiadherente,BG-665116,EQUIPO DE COCINA,31x16x4,,Sartén Redondo Fabricado en Aluminio con Antiadherente 16 cm de Diámetro de Bourgeat No Apto para Inducción,"Sartén Redondo 16 cm Diámetro Aluminio
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.","Proceso de lavado a mano, con detergente líquido con el fin de evitar rayar el producto.",TRUE,16 cm,Redondo,1,Negro,Aluminio,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
bg-665120-sarten-redondo-20-cm-diametro-aluminio-con-antiadherente,SARTEN REDONDO 20 CM DIAMETRO ALUMINIO CON ANTIADHERENTE,Matfer. Sartén Redondo  Aluminio con Antiadherente,BG-665120,EQUIPO DE COCINA,35x20x4,,Sartén Redondo Fabricado en Aluminio con Antiadherente 20 cm de Diámetro de Bourgeat No Apto para Inducción,"Sartén Redondo 20 cm Diámetro Aluminio
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.","Proceso de lavado a mano, con detergente líquido con el fin de evitar rayar el producto.",TRUE,20 cm,Redondo,1,Negro,Aluminio,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
bg-665124-sarten-redondo-24-cm-diametro-aluminio-con-antiadherente,SARTEN REDONDO 24 CM DIAMETRO ALUMINIO CON ANTIADHERENTE,Matfer. Sartén Redondo  Aluminio con Antiadherente,BG-665124,EQUIPO DE COCINA,44x24x4,,Sartén Redondo Fabricado en Aluminio con Antiadherente 24 cm de Diámetro de Bourgeat No Apto para Inducción,"Sartén Redondo 24 cm Diámetro Aluminio
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.","Proceso de lavado a mano, con detergente líquido con el fin de evitar rayar el producto.",TRUE,24 cm,Redondo,1,Negro,Aluminio,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
bg-665128-sarten-redondo-28-cm-diametro-aluminio-con-antiadherente,SARTEN REDONDO 28 CM DIAMETRO ALUMINIO CON ANTIADHERENTE,Matfer. Sartén Redondo  Aluminio con Antiadherente,BG-665128,EQUIPO DE COCINA,51x28x5,,Sartén Redondo Fabricado en Aluminio con Antiadherente 28 cm de Diámetro de Bourgeat No Apto para Inducción,"Sartén Redondo 28 cm Diámetro Aluminio
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.","Proceso de lavado a mano, con detergente líquido con el fin de evitar rayar el producto.",TRUE,28 cm,Redondo,1,Negro,Aluminio,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
bg-665132-sarten-redondo-32-cm-diametro-aluminio-con-antiadherente,SARTEN REDONDO 32 CM DIAMETRO ALUMINIO CON ANTIADHERENTE,Matfer. Sartén Redondo  Aluminio con Antiadherente,BG-665132,EQUIPO DE COCINA,58x32x5,,Sartén Redondo Fabricado en Aluminio con Antiadherente 32 cm de Diámetro de Bourgeat No Apto para Inducción,"Sartén Redondo 32 cm Diámetro Aluminio
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.","Proceso de lavado a mano, con detergente líquido con el fin de evitar rayar el producto.",TRUE,32 cm,Redondo,1,Negro,Aluminio,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
bg-665136-sarten-redondo-36-cm-diametro-aluminio-con-antiadherente,SARTEN REDONDO 36 CM DIAMETRO ALUMINIO CON ANTIADHERENTE,Matfer. Sartén Redondo  Aluminio con Antiadherente,BG-665136,EQUIPO DE COCINA,65x36x6,,Sartén Redondo Fabricado en Aluminio con Antiadherente 36 cm de Diámetro de Bourgeat No Apto para Inducción,"Sartén Redondo 36 cm Diámetro Aluminio
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.","Proceso de lavado a mano, con detergente líquido con el fin de evitar rayar el producto.",TRUE,36 cm,Redondo,1,Negro,Aluminio,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
v-47930-bowl-16.5-cm-.7-lt-acero-inoxidable,BOWL 16.5 CM .7 LT ACERO INOXIDABLE,Vollrath. Bowl para mezclar Acero Inoxidable,V-47930,EQUIPO DE COCINA,19x19x10,,"Bowl Para Mezclar 16.5 CM .7 LT Acero Inoxidable de Vollrath Acabado Brillante Fondo Plano que Asegura Estabilidad, Evitando que se Deslice.","Bowl de Acero Inoxidable
Uso Profesional
Ideales para mezclar toda una variedad de ingredientes, gracias a su diseño compacto, este recipiente se apila con otros para almacenarlo cuando no está en uso.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,16.5 CM .7 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
v-47932-bowl-19.7-cm-1.4-lt-acero-inoxidable,BOWL 19.7 CM 1.4 LT ACERO INOXIDABLE,Vollrath. Bowl para mezclar Acero Inoxidable,V-47932,EQUIPO DE COCINA,22x22x12,,"Bowl Para Mezclar 19.7 CM 1.4 LT Acero Inoxidable de Vollrath Acabado Brillante Fondo Plano que Asegura Estabilidad, Evitando que se Deslice.","Bowl de Acero Inoxidable
Uso Profesional
Ideales para mezclar toda una variedad de ingredientes, gracias a su diseño compacto, este recipiente se apila con otros para almacenarlo cuando no está en uso.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,19.7 CM 1.4 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
v-47933-bowl-22.9-cm-2.8-lt-acero-inoxidable,BOWL 22.9 CM 2.8 LT ACERO INOXIDABLE,Vollrath. Bowl para mezclar Acero Inoxidable,V-47933,EQUIPO DE COCINA,27x25x14,,"Bowl Para Mezclar 22.9 CM 2.8 LT Acero Inoxidable de Vollrath Acabado Brillante Fondo Plano que Asegura Estabilidad, Evitando que se Deslice.","Bowl de Acero Inoxidable
Uso Profesional
Ideales para mezclar toda una variedad de ingredientes, gracias a su diseño compacto, este recipiente se apila con otros para almacenarlo cuando no está en uso.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,22.9 CM 2.8 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
v-47934-bowl-27.1-cm-3.8-lt-acero-inoxidable,BOWL 27.1 CM 3.8 LT ACERO INOXIDABLE,Vollrath. Bowl para mezclar Acero Inoxidable,V-47934,EQUIPO DE COCINA,30x30x18,,"Bowl Para Mezclar 27.1 CM 3.8 LT Acero Inoxidable de Vollrath Acabado Brillante Fondo Plano que Asegura Estabilidad, Evitando que se Deslice.","Bowl de Acero Inoxidable
Uso Profesional
Ideales para mezclar toda una variedad de ingredientes, gracias a su diseño compacto, este recipiente se apila con otros para almacenarlo cuando no está en uso.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,27.1 CM 3.8 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
v-47935-bowl-29.8-cm-4.7-lt-acero-inoxidable,BOWL 29.8 CM 4.7 LT ACERO INOXIDABLE,Vollrath. Bowl para mezclar Acero Inoxidable,V-47935,EQUIPO DE COCINA,31x31x17,,"Bowl Para Mezclar 29.8 CM 4.7 LT Acero Inoxidable de Vollrath Acabado Brillante Fondo Plano que Asegura Estabilidad, Evitando que se Deslice.","Bowl de Acero Inoxidable
Uso Profesional
Ideales para mezclar toda una variedad de ingredientes, gracias a su diseño compacto, este recipiente se apila con otros para almacenarlo cuando no está en uso.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,29.8 CM 4.7 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
v-47938-bowl-34.3-cm-7.6-lt-acero-inoxidable,BOWL 34.3 CM 7.6 LT ACERO INOXIDABLE,Vollrath. Bowl para mezclar Acero Inoxidable,V-47938,EQUIPO DE COCINA,36x36x15,,"Bowl Para Mezclar 34.3 CM .7.6 LT Acero Inoxidable de Vollrath Acabado Brillante Fondo Plano que Asegura Estabilidad, Evitando que se Deslice.","Bowl de Acero Inoxidable
Uso Profesional
Ideales para mezclar toda una variedad de ingredientes, gracias a su diseño compacto, este recipiente se apila con otros para almacenarlo cuando no está en uso.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,34.3 CM 7.6 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
v-47943-bowl-40.6-cm-12.3-lt-acero-inoxidable,BOWL 40.6 CM 12.3 LT ACERO INOXIDABLE,Vollrath. Bowl para mezclar Acero Inoxidable,V-47943,EQUIPO DE COCINA,44x44x18,,"Bowl Para Mezclar 40.6 CM 12.3 LT Acero Inoxidable de Vollrath Acabado Brillante Fondo Plano que Asegura Estabilidad, Evitando que se Deslice.","Bowl de Acero Inoxidable
Uso Profesional
Ideales para mezclar toda una variedad de ingredientes, gracias a su diseño compacto, este recipiente se apila con otros para almacenarlo cuando no está en uso.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,40.6 CM 12.3 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
v-46789-sacacorchos-de-bolsillo-acero-inoxidable,SACACORCHOS DE BOLSILLO ACERO INOXIDABLE,Vollrath. Sacacorchos de Bolsillo Acero Inoxidable,V-46789,EQUIPO DE COCINA,14x13x4,,Sacacorchos de Bolsillo 11.7 cm Acero Inoxidable de Vollrath,"Sacacorchos de bolsillo
Diseño compacto y ligero que facilita su uso, herramienta indispensable para Sommeliers y Meseros",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,11.7 cm,Irregular,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Banquetes",EE.UU.,N/A,Si,N/A,N/A,N/A,N/A,N/A
v-47602-sacacorchos-acero-inoxidable-mango-plastico-negro,SACACORCHOS ACERO INOXIDABLE MANGO PLASTICO NEGRO,Vollrath. Sacacorchos Acero Inoxidable Mango de Plástico Negro,V-47602,EQUIPO DE COCINA,14x9x6,,Sacacorchos 11.7 cm Acero Inoxidable Mango Plástico Negro de Vollrath,"Sacacorchos de bolsillo
Diseño compacto y ligero que facilita su uso, herramienta indispensable para Sommeliers y Meseros",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,11.7 cm,Irregular,1,Acero/Negro,Acero Inoxidable,"Restaurante, Hotel, Banquetes",EE.UU.,N/A,Si,N/A,N/A,N/A,N/A,N/A
v-40819-horno-microondas-industrial-acero-inoxidable,HORNO MICROONDAS INDUSTRIAL ACERO INOXIDABLE,Vollrath. Horno de Microondas Industrial Acero Inoxidable Digital,V-40819,EQUIPO DE COCINA,60x50x40,,"Horno de Microondas Uso Industrial Digital de Vollrath 3 Niveles de Potencia, 20 Ajustes Programables, Acero Inoxidable con Puerta de Vidrio y Luz Interior. 120 volts. Uso comercial e industrial.","Horno de microondas
Uso Industrial
El horno de microondas  Vollrath requiere de una conexión eléctrica de 110V.",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,52.1x46x31.1 cm,Rectángular,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Industria",EE.UU.,N/A,Si,N/A,N/A,N/A,N/A,N/A
cl-047542-tortillero-polipropileno-beige-diametro-18.5-cm,TORTILLERO POLIPROPILENO BEIGE DIAMETRO 18.5 CM,Carlisle. Tortillero de Polipropileno 18.5 cm,CL-047542,EQUIPO DE COCINA,60x40x15,,"Tortillero de Polipropileno de Carlisle. Ideal para tortillas, pan plano, pita, Arepas.  Resiste temperatura de hasta 88° C. Apto para lavavajillas. Cuenta con Certificción NSF","Tortillero de polipropileno
Funcionalidad y sencillez son las características de este tortillero, fácil de almacenar y de limpiar.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,18.5 cm,Redondo,1,Beige,Polipropileno,"Restaurante, Hotel, Banquetes",EE.UU.,Si,Si,N/A,N/A,Si,N/A,N/A
hl-1511b-cuchara-para-bar-acero-inoxidable-26-cm,CUCHARA PARA BAR ACERO INOXIDABLE 26 CM,Alegacy. Cuchara para Bar Acero Inoxidable 26 cm,HL-1511b,EQUIPO DE COCINA,6x6x30,,Cuchara para bar Acero Inoxidable de Carlisle. Herramienta indispensable para el Bartender Profesional. Cuerpo Solido de Acero Inoxidable.,"Cuchara para Bar de Acero Inoxidable
Agita en cualquier vaso, copa o tarro, no importa la profundidad ",Fácil de limpiar y se puede usar lavavajillas.,TRUE,26 cm,Irregular,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Bar, Cafetería",EE.UU.,N/A,Si,N/A,N/A,Si,N/A,N/A
hl-80973-silla-para-bebe-de-madera-color-natural,SILLA PARA BEBE DE MADERA COLOR NATURAL,Alegacy. Silla Para Bebé de Madera Color Natural,HL-80973,EQUIPO DE COCINA,50x5x72,,"Silla para bebé de Alegacy. Cuenta con correa de seguridad, se entrega desarmada. Indispensable para que los bebés se alimenten de una manera cómodoa y segura.","Tijera Porta Charola de Madera 
Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,69.2 cm,Irregular,1,Natural,Madera,"Restaurante, Hotel",EE.UU.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hr-1550cb-tijera-porta-charola-madera-color-caoba,TIJERA PORTA CHAROLA MADERA COLOR CAOBA,Hogare. Tijera Porta Charola Madera Color Caoba,HR-1550CB,EQUIPO DE COCINA,50x46x94,,"Tijera Porta charola de madera de Hogare. Hogare es una marca Nacional especializada en fabricar artículos de Madera de la más alta calidad, la tijera porta charola es una herramienta indispensable para el buen desempeño de los meseros.","Tijera Porta Charola de Madera 
Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,82.5 cm,Irregular,1,Caoba,Madera,"Restaurante, Hotel",Nacional,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pe-amt-10-ablandador-para-carne-aluminio,ABLANDADOR PARA CARNE ALUMINIO,Perpetual. Ablandador,PE-AMT-10,EQUIPO DE COCINA,33x22x10,,"Ablandador para Carne de Perpetual se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria. Esta línea perpetual ofrece una amplia gama de productos pensados especialemnte para la industria gastronómica, cumpliendo las normas mundiales de calidad (NSF)","Ablandador para Carne Aluminio
Fabricado en su totalidad de Alumino, funciona para golpear y ablendar. Apto para lavavajillas.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,25 cm,Irregular,1,Acero,Aluminio,"Restaurante, Hotel",China,N/A,Si,N/A,N/A,Si,N/A,N/A
pe-ast-7-cenicero-redondo-10-cm-melamina-negro,CENICERO REDONDO 10 CM MELAMINA NEGRO,Perpetual. Cenicero redondo 10 cm Melamina Negro,PE-AST-7,EQUIPO DE COCINA,20x20x14,,"Cenicero Redondo Melamina Negro de Perpetual se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria. Esta línea perpetual ofrece una amplia gama de productos pensados especialemnte para la industria gastronómica, cumpliendo las normas mundiales de calidad (NSF)","Cenicero Redondo de Melamina Negro
Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,10 cm,Redondo,1,Negro,Melamina,"Restaurante, Hotel",China,N/A,N/A,N/A,N/A,Si,N/A,N/A
v-68127-cocedor-para-pasta-aluminio-17.5-lts-c/4-insertos,COCEDOR PARA PASTA ALUMINIO 17.5 LTS C/4 INSERTOS,Vollrath. Cocedor para Pastas Aluminio c/4 Insertos,V-68127,EQUIPO DE COCINA,40x40x38,,"Cocedor para Pastas Aluminio de Vollrath incluye 4 Insertosde esta manera la capacidad de la operación es mucho más eficiente, eficáz para la cocción de pastas y vegetales. No apto para Inducción.","Cocedor para Pastas Aluminio
Permite cocinar 4 pastas o vegetales diferentes al mismo tiempo. Cuenta con un clip colgante en cada inserto para que los alimentos escurran con facilidad.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,17.5 lts,Redondo,1,Acero,Aluminio,"Restaurante, Hotel",EE.UU.,N/A,Si,N/A,Si,Si,N/A,N/A
vcn-2038-copa-bola-18-1/4-oz-imperia,COPA BOLA 18 1/4 OZ IMPERIA,Vicrila. Copa Bola 18 1/4 oz Imperia,VCN-2038,CRISTALERIA,37x25x19,,"Copa Bola Imperia de Vicrila, Diseño Clásico para Cerveza y otras Bebidas.","Copa Bola
Es un tipo de copa de boca muy ancha, gruesa y con una base fuerte, que es perfecta para cervezas intensas y muy aromáticas  ya que los aromas aparecen sobre la superficie y se oxigena fácilmente. Buena retención de la espuma y permite saborear con profundos sorbos.
Estilos para los que se recomienda: Belgian IPA, Belgian Strong Dark Ale, Berliner Weissbier, Dubbel, Quadrupel (Quad), Tripel.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,18 1/4 oz,Irregular,6,Transparente,Vidrio,"Restaurante, Hotel, Bar, Cafetería",España,Si,Si,N/A,N/A,Si,N/A,N/A
99-168169-tequilero-1-1/4-oz-party-dublino,TEQUILERO 1 1/4 OZ PARTY DUBLINO,Bormioli. Tequilero 1 1/4 oz Party Dublino,99-168169,CRISTALERIA,14x10x8,,"Party Dublino es una línea de la marca Bormioli Rocco una marca italiana que fabrica productos altamente resistentes y durables. Piezas con excelente combinación, transparencia y resistencia para uso profesional. Su transparencia posee un brillo especial que mejora el aspecto de las bebidas.","Tequileto 1 1/4 oz Party Dublino
Tequilero de lineas sencillas lo cual lo hace elegante y pieza elemental para un buen montaje",Fácil de limpiar y se puede usar lavavajillas.,TRUE,1 1/4 oz,Redondo,6,Transparente,Vidrio,"Restaurante, Hotel, Bar, Cafetería",Italia,N/A,Si,N/A,N/A,Si,N/A,N/A
